iter	RMSE
426	8.730021182
427	8.729734264
428	8.729520796
429	8.729296777
430	8.729141851
431	8.72894619
432	8.728853813
433	8.728650871
434	8.728514119
435	8.728318444
436	8.728144587
437	8.728071843
438	8.727969272
439	8.727810686
440	8.727517147
441	8.727378923
442	8.727193771
443	8.727028622
444	8.726826365
445	8.72668049
446	8.726509511
447	8.726424021
448	8.726262496
449	8.726215929
450	8.726029661
451	8.725847391
452	8.725598174
453	8.725478474
454	8.725205596
455	8.725187404
456	8.724992746
457	8.724776979
458	8.724600505
459	8.724374176
460	8.724137288
461	8.723961529
462	8.723862913
463	8.723679142
464	8.723530667
465	8.723405116
466	8.723292301
467	8.723185671
468	8.723132902
469	8.722976775
470	8.722826468
471	8.722724563
472	8.722558238
473	8.722405741
474	8.722310019
475	8.722111292
476	8.721868156
477	8.721612637
478	8.72150089
479	8.721331994
480	8.721226796
481	8.721052798
482	8.720837298
483	8.720741923
484	8.720723721
485	8.720576288
486	8.720378614
487	8.72021006
488	8.719960317
489	8.719791755
490	8.719595884
491	8.719524889
492	8.719317725
493	8.719150971
494	8.719010793
495	8.718773031
496	8.718601169
497	8.718435494
498	8.718254886
499	8.718162031
500	8.718012006
501	8.717822649
502	8.717694103
503	8.717584491
504	8.71743482
505	8.717361622
506	8.717207941
507	8.716995259
508	8.716827368
509	8.716642356
510	8.716514521
511	8.71640016
512	8.716220238
513	8.716042134
514	8.715838529
515	8.715767139
516	8.715631278
517	8.715351171
518	8.715288519
519	8.715128609
520	8.714919883
521	8.714706781
522	8.714573453
523	8.714469995
524	8.714415716
525	8.714254697
526	8.714068902
527	8.713811697
528	8.71368892
529	8.713599296
530	8.71353481
531	8.713419317
532	8.71334645
533	8.713242977
534	8.713086673
535	8.713063354
536	8.712961336
537	8.712889558
538	8.712755473
539	8.712630132
540	8.712425719
541	8.712197252
542	8.712017243
543	8.711884603
544	8.711787672
545	8.711644461
546	8.711533315
547	8.711393379
548	8.711166707
549	8.710980117
550	8.710895932
551	8.710676172
552	8.710521279
553	8.710331031
554	8.710156086
555	8.710082463
556	8.709926102
557	8.709808009
558	8.709635606
559	8.709418365
560	8.709316668
561	8.709151545
562	8.709084839
563	8.708982774
564	8.708814728
565	8.708625901
566	8.708583615
567	8.708445454
568	8.708297448
569	8.708162928
570	8.708064133
571	8.707887321
572	8.70782425
573	8.707697015
574	8.707548267
575	8.707435976
576	8.707333527
577	8.707157063
578	8.707012682
579	8.706906946
580	8.706844598
581	8.706708233
582	8.706593014
583	8.706403044
584	8.706310428
585	8.706065756
586	8.705903489
587	8.7058652
588	8.705665369
589	8.70553008
590	8.705413386
591	8.705260953
592	8.705078613
593	8.704996923
594	8.704879493
595	8.704710274
596	8.704562205
597	8.704380579
598	8.704245999
599	8.704098651
600	8.70399288
601	8.703868142
602	8.703853553
603	8.703762368
604	8.703636168
605	8.703516895
606	8.703421695
607	8.703387044
608	8.703210865
609	8.703057664
610	8.702868347
611	8.702774234
612	8.702634157
613	8.702496996
614	8.702385369
615	8.702255865
616	8.702079664
617	8.701930455
618	8.701764463
619	8.701681283
620	8.70159044
621	8.701528419
622	8.701485733
623	8.70138139
624	8.701229981
625	8.701196415
626	8.701042813
627	8.700838858
628	8.70071225
629	8.700585275
630	8.70043823
631	8.700342996
632	8.700230247
633	8.7001715
634	8.699994162
635	8.699912059
636	8.699765003
637	8.699579994
638	8.699516498
639	8.699369435
640	8.699226384
641	8.699101942
642	8.69900122
643	8.698890643
644	8.698723132
645	8.698586639
646	8.698486276
647	8.698331531
648	8.698229705
649	8.69816839
650	8.697971302
651	8.697838082
652	8.697733695
653	8.697628212
654	8.697442426
655	8.697282188
656	8.697103696
657	8.696979954
658	8.696895633
659	8.696806201
660	8.69674232
661	8.696636095
662	8.696463065
663	8.696438242
664	8.696310475
665	8.696179785
666	8.696056395
667	8.695901242
668	8.695782594
669	8.6956895
670	8.695593119
671	8.69547118
672	8.695308715
673	8.695169248
674	8.694975013
675	8.694805601
676	8.694743166
677	8.694659189
678	8.694606246
679	8.69448685
680	8.694395568
681	8.694307935
682	8.694160419
683	8.694102727
684	8.693929281
685	8.69376058
686	8.693669289
687	8.693533448
688	8.693434852
689	8.693328221
690	8.693242769
691	8.693124815
692	8.693035709
693	8.692948794
694	8.692808193
695	8.692671243
696	8.692463074
697	8.692302743
698	8.692205229
699	8.692072287
700	8.692024076
701	8.691884191
702	8.691777906
703	8.691704127
704	8.691541957
705	8.691500683
706	8.691333761
707	8.691185464
708	8.690986025
709	8.690882652
710	8.690751881
711	8.690606131
712	8.690499465
713	8.690441383
714	8.690282111
715	8.690184209
716	8.69003845
717	8.689805741
718	8.68968774
719	8.689566449
720	8.689418487
721	8.68936259
722	8.68926212
723	8.689130228
724	8.688969471
725	8.688823692
726	8.688661833
727	8.688544547
728	8.688456125
729	8.688323856
730	8.688213143
731	8.688156507
732	8.688074658
733	8.687960288
734	8.687883188
735	8.687823992
736	8.687656268
737	8.687563817
738	8.687489271
739	8.687302904
740	8.687190716
741	8.687041983
742	8.686933081
743	8.686779958
744	8.686645105
745	8.686488322
746	8.686297913
747	8.686170727
748	8.686091053
749	8.685967885
750	8.68587103
751	8.685701441
752	8.685610066
753	8.685473733
754	8.685329357
755	8.685192288
756	8.685044983
757	8.684989788
758	8.684902061
759	8.684741957
760	8.684666656
761	8.684610362
762	8.68442503
763	8.684328158
764	8.684204599
765	8.684103338
766	8.683923844
767	8.68384159
768	8.683665381
769	8.68350306
770	8.683383511
771	8.683292478
772	8.683186088
773	8.683125763
774	8.68307604
775	8.68295027
776	8.682842779
777	8.682752837
778	8.682608781
779	8.68243474
780	8.682274956
781	8.68222011
782	8.682186836
783	8.682012421
784	8.681967811
785	8.681853726
786	8.681770721
787	8.681663581
788	8.681508171
789	8.681301563
790	8.681231351
791	8.681123108
792	8.681047044
793	8.680890891
794	8.680812265
795	8.680741319
796	8.68067476
797	8.680542372
798	8.680385113
799	8.680256013
800	8.680096188
801	8.680034379
802	8.679963792
803	8.679816032
804	8.679700456
805	8.679509532
806	8.679332869
807	8.679138279
808	8.678967827
809	8.678837974
810	8.67866715
811	8.678594356
812	8.678491567
813	8.678393531
814	8.678257085
815	8.67819636
816	8.678054057
817	8.677896022
818	8.677842611
819	8.677666646
820	8.67760299
821	8.677473482
822	8.677335558
823	8.677218119
824	8.677124094
825	8.676992384
826	8.676851159
827	8.676740299
828	8.676598705
829	8.67649516
830	8.676364903
831	8.676271235
832	8.676187444
833	8.676092676
834	8.675917407
835	8.675755674
836	8.67571835
837	8.675555515
838	8.675468058
839	8.675412437
840	8.675248132
841	8.675146401
842	8.67496599
843	8.674871208
844	8.674844127
845	8.674711285
846	8.674609181
847	8.674448887
848	8.674299569
849	8.674126826
850	8.674031669
851	8.674012638
852	8.673877952
853	8.673763395
854	8.673679946
855	8.673618091
856	8.673513047
857	8.673403243
858	8.673295267
859	8.673220599
860	8.673123968
861	8.673002812
862	8.672859326
863	8.672744755
864	8.672644459
865	8.672567222
866	8.672431416
867	8.672385293
868	8.672257171
869	8.672231181
870	8.672150646
871	8.672026548
872	8.67188451
873	8.671760408
874	8.671693414
875	8.671589444
876	8.671487304
877	8.671337203
878	8.671259223
879	8.671097402
880	8.670993425
881	8.670908486
882	8.670755446
883	8.670684783
884	8.670599108
885	8.670531739
886	8.670481578
887	8.670337684
888	8.670190492
889	8.670130443
890	8.669983248
891	8.669849233
892	8.669673837
893	8.669561421
894	8.669501002
895	8.669418977
896	8.669357092
897	8.669179123
898	8.669069264
899	8.668911797
900	8.668710748
901	8.668638237
902	8.668523977
903	8.668382248
904	8.668250771
905	8.66815262
906	8.6680552
907	8.667934706
908	8.667814942
909	8.667678329
910	8.667588229
911	8.667514244
912	8.667501791
913	8.667381289
914	8.667236978
915	8.667162623
916	8.667011348
917	8.666893037
918	8.666777655
919	8.666641392
920	8.666525274
921	8.666428202
922	8.666351276
923	8.666260796
924	8.666174345
925	8.666001806
926	8.665863333
927	8.665703609
928	8.665675401
929	8.665520437
930	8.665414928
931	8.665342023
932	8.665200975
933	8.665121474
934	8.664989215
935	8.66488663
936	8.664800165
937	8.664631263
938	8.664496432
939	8.664408497
940	8.664293082
941	8.66419855
942	8.664076902
943	8.66398017
944	8.663884535
945	8.663762517
946	8.663616679
947	8.66347487
948	8.663369336
949	8.663328295
950	8.663250242
951	8.663167792
952	8.663112458
953	8.663041733
954	8.662928498
955	8.662755894
956	8.662645221
957	8.662538577
958	8.662441094
959	8.662322721
960	8.662201414
961	8.66208267
962	8.662051152
963	8.661987015
964	8.661919213
965	8.661873033
966	8.661797533
967	8.661702241
968	8.661629305
969	8.661579459
970	8.661547206
971	8.661509088
972	8.661367244
973	8.661241525
974	8.661164554
975	8.66106449
976	8.66100731
977	8.660876821
978	8.660698311
979	8.660583579
980	8.660461148
981	8.66032112
982	8.660250739
983	8.660091645
984	8.659975806
985	8.659827705
986	8.659709295
987	8.659569988
988	8.659409049
989	8.659301999
990	8.659168551
991	8.659005038
992	8.658957744
993	8.658850688
994	8.658695968
995	8.658624474
996	8.65847635
997	8.658335923
998	8.658225193
999	8.658107862
1000	8.657964129
1001	8.657911695
1002	8.65781306
1003	8.657692057
1004	8.657627154
1005	8.657526682
1006	8.657373406
1007	8.657294933
1008	8.657178689
1009	8.657077479
1010	8.657015872
1011	8.656962332
1012	8.65689119
1013	8.65679291
1014	8.656686561
1015	8.656529236
1016	8.656430218
1017	8.656283891
1018	8.656241715
1019	8.656063477
1020	8.656008465
1021	8.655900639
1022	8.655735231
1023	8.655664812
1024	8.655522139
1025	8.65544805
1026	8.655390466
1027	8.655286301
1028	8.655142888
1029	8.655073565
1030	8.654975264
1031	8.654873661
1032	8.654776459
1033	8.654708233
1034	8.65454647
1035	8.654441561
1036	8.654354625
1037	8.65423614
1038	8.654087574
1039	8.653989996
1040	8.653848763
1041	8.653738709
1042	8.653614347
1043	8.653480078
1044	8.65340267
1045	8.653342138
1046	8.653203462
1047	8.653130822
1048	8.653012688
1049	8.652880977
1050	8.652743762
1051	8.652655708
1052	8.652516287
1053	8.652407317
1054	8.652308619
1055	8.652248079
1056	8.65206719
1057	8.651977662
1058	8.651906479
1059	8.651773651
1060	8.651655131
1061	8.651585413
1062	8.651510924
1063	8.651383594
1064	8.651273509
1065	8.651147644
1066	8.651068381
1067	8.650938109
1068	8.650846367
1069	8.650709853
1070	8.650588016
1071	8.650505077
1072	8.65040489
1073	8.65036342
1074	8.650294059
1075	8.650187263
1076	8.650091476
1077	8.649977704
1078	8.649916781
1079	8.649832735
1080	8.649730338
1081	8.649657668
1082	8.649547561
1083	8.649458741
1084	8.649393042
1085	8.649356339
1086	8.649206588
1087	8.649079958
1088	8.648936443
1089	8.648808341
1090	8.648657479
1091	8.648520931
1092	8.648423657
1093	8.648365659
1094	8.64829775
1095	8.648162664
1096	8.648101361
1097	8.647999677
1098	8.647898359
1099	8.647806952
1100	8.647678099
1101	8.647549245
1102	8.647502989
1103	8.647417818
1104	8.647394323
1105	8.647326406
1106	8.647212965
1107	8.647091813
1108	8.646940554
1109	8.646828944
1110	8.646689797
1111	8.646637662
1112	8.646524212
1113	8.646497777
1114	8.646410394
1115	8.646299878
1116	8.646159621
1117	8.646024134
1118	8.645902232
1119	8.645823287
1120	8.645735163
1121	8.645647405
1122	8.645597834
1123	8.645493918
1124	8.645392571
1125	8.645379718
1126	8.645288285
1127	8.645201991
1128	8.645096968
1129	8.645011774
1130	8.644891693
1131	8.644846524
1132	8.644696695
1133	8.644622514
1134	8.644543191
1135	8.644462398
1136	8.644379769
1137	8.644291262
1138	8.644177782
1139	8.644031981
1140	8.643866345
1141	8.643804644
1142	8.643749921
1143	8.643624313
1144	8.643525883
1145	8.643392559
1146	8.643312857
1147	8.643221034
1148	8.643117089
1149	8.643040323
1150	8.642910665
1151	8.642842346
1152	8.642766679
1153	8.642690278
1154	8.642628936
1155	8.642534167
1156	8.642405603
1157	8.642324055
1158	8.642252425
1159	8.642242875
1160	8.642141122
1161	8.642025777
1162	8.641882511
1163	8.64176055
1164	8.641751366
1165	8.641644832
1166	8.641560706
1167	8.64147915
1168	8.641400901
1169	8.641314568
1170	8.641171658
1171	8.641144472
1172	8.640996783
1173	8.640895383
1174	8.640856439
1175	8.640790675
1176	8.640648859
1177	8.640542678
1178	8.640481689
1179	8.640378446
1180	8.640284019
1181	8.640194736
1182	8.640112801
1183	8.640027925
1184	8.639955173
1185	8.639891607
1186	8.63981518
1187	8.639754185
1188	8.639599124
1189	8.639559807
1190	8.63943818
1191	8.639335659
1192	8.639239017
1193	8.63921403
1194	8.639091663
1195	8.638998325
1196	8.638911601
1197	8.638800622
1198	8.638724553
1199	8.638592625
1200	8.638461062
1201	8.638411083
1202	8.638370658
1203	8.63827915
1204	8.638212631
1205	8.638179555
1206	8.638144642
1207	8.638068935
1208	8.63795133
1209	8.637828945
1210	8.637684507
1211	8.637575718
